starttime	seconds	ctime	dtime	ttime	wait
Fri May 31 14:50:39 2024	1717147239	3	80	83	79
Fri May 31 14:50:45 2024	1717147245	0	83	83	82
Fri May 31 14:50:40 2024	1717147240	1	82	83	81
Fri May 31 14:50:42 2024	1717147242	0	84	84	79
Fri May 31 14:50:42 2024	1717147242	0	85	85	84
Fri May 31 14:50:44 2024	1717147244	0	85	85	85
Fri May 31 14:50:44 2024	1717147244	0	86	86	50
Fri May 31 14:50:43 2024	1717147243	0	87	87	87
Fri May 31 14:50:47 2024	1717147247	0	87	87	87
Fri May 31 14:50:39 2024	1717147239	2	86	88	85
Fri May 31 14:50:43 2024	1717147243	0	88	88	88
Fri May 31 14:50:39 2024	1717147239	2	87	89	86
Fri May 31 14:50:39 2024	1717147239	1	88	89	88
Fri May 31 14:50:43 2024	1717147243	0	90	90	89
Fri May 31 14:50:41 2024	1717147241	0	90	90	89
Fri May 31 14:50:41 2024	1717147241	0	91	91	90
Fri May 31 14:50:41 2024	1717147241	0	92	92	91
Fri May 31 14:50:44 2024	1717147244	0	92	92	91
Fri May 31 14:50:41 2024	1717147241	0	92	92	92
Fri May 31 14:50:44 2024	1717147244	0	92	92	92
Fri May 31 14:50:39 2024	1717147239	0	93	93	92
Fri May 31 14:50:44 2024	1717147244	0	93	93	92
Fri May 31 14:50:45 2024	1717147245	0	93	93	92
Fri May 31 14:50:39 2024	1717147239	1	92	93	92
Fri May 31 14:50:41 2024	1717147241	0	94	94	93
Fri May 31 14:50:41 2024	1717147241	0	94	94	94
Fri May 31 14:50:44 2024	1717147244	0	94	94	94
Fri May 31 14:50:41 2024	1717147241	0	94	94	94
Fri May 31 14:50:43 2024	1717147243	0	94	94	94
Fri May 31 14:50:42 2024	1717147242	0	94	94	94
Fri May 31 14:50:41 2024	1717147241	0	95	95	94
Fri May 31 14:50:44 2024	1717147244	0	95	95	94
Fri May 31 14:50:41 2024	1717147241	0	96	96	95
Fri May 31 14:50:45 2024	1717147245	0	97	97	96
Fri May 31 14:50:42 2024	1717147242	0	97	97	96
Fri May 31 14:50:40 2024	1717147240	0	97	97	97
Fri May 31 14:50:42 2024	1717147242	0	98	98	97
Fri May 31 14:50:41 2024	1717147241	0	98	98	97
Fri May 31 14:50:42 2024	1717147242	0	98	98	97
Fri May 31 14:50:41 2024	1717147241	0	98	98	97
Fri May 31 14:50:41 2024	1717147241	0	98	98	98
Fri May 31 14:50:43 2024	1717147243	0	98	99	98
Fri May 31 14:50:42 2024	1717147242	0	99	99	98
Fri May 31 14:50:45 2024	1717147245	0	99	99	98
Fri May 31 14:50:43 2024	1717147243	0	99	99	98
Fri May 31 14:50:43 2024	1717147243	0	101	101	100
Fri May 31 14:50:42 2024	1717147242	0	101	101	101
Fri May 31 14:50:47 2024	1717147247	1	101	102	100
Fri May 31 14:50:45 2024	1717147245	0	102	102	102
Fri May 31 14:50:43 2024	1717147243	0	102	102	102
Fri May 31 14:50:39 2024	1717147239	2	100	103	99
Fri May 31 14:50:47 2024	1717147247	1	102	103	101
Fri May 31 14:50:41 2024	1717147241	0	104	104	92
Fri May 31 14:50:41 2024	1717147241	0	104	104	104
Fri May 31 14:50:40 2024	1717147240	0	104	104	104
Fri May 31 14:50:47 2024	1717147247	0	105	106	105
Fri May 31 14:50:39 2024	1717147239	3	103	106	100
Fri May 31 14:50:41 2024	1717147241	0	107	107	106
